CarModel        AgeOfCar        Price        OdoMeterReading                DealingType        GearSystem        NoOfOwners
Hyundai i10 Magna 1.1L        9        368750        42500        Petrol        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 VTVT AT S Option        7        962500        14000        Petrol        Direct Owner        Automatic        First Owner
Skoda Laura Ambiente        15        237500        124000        Diesel        Direct Owner        Manual        Third Owner
Maruti 800 Std        26        62500        84000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift Dzire VXi        12        318748.75        74000        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W5 BSIV        5        1312500        39000        Diesel        Direct Owner        Manual        First Owner
Chevrolet Spark 1.0 LT        12        162500        72519        Petrol        Broker        Manual        First Owner
Nissan Terrano XL Plus 85 PS        8        563750        104000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto 800 LXI        10        116000        29000        Petrol        Direct Owner        Manual        Second Owner
Maruti Alto VXi        8        350000        30134        Petrol        Broker        Manual        First Owner
Honda City i DTEC SV        9        831250        75318        Diesel        Broker        Manual        First Owner
Toyota Innova 2.5 G4 Diesel 7-seater        14        950000        194000        Diesel        Direct Owner        Manual        Second Owner
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV        9        975000        62000        Diesel        Broker        Manual        Second Owner
Hyundai i20 Active SX Petrol        7        687500        27000        Petrol        Broker        Manual        First Owner
Renault Duster 110PS Diesel RxZ        6        1000000        54000        Diesel        Direct Owner        Manual        First Owner
Hyundai i20 1.2 Asta        5        875000        14000        Petrol        Direct Owner        Manual        First Owner
BMW 3 Series 320d Luxury Line        5        2875000        43000        Diesel        Direct Owner        Automatic        First Owner
Toyota Etios VX        12        381250        124000        Petrol        Direct Owner        Manual        Second Owner
Maruti Omni BSIII 8-STR W/ IMMOBILISER        15        187500        54000        Petrol        Direct Owner        Manual        Second Owner
Maruti Ertiga VXI CNG        10        656250        60228        CNG        Broker        Manual        First Owner
Hyundai Verna 1.6 SX VTVT AT        12        562500        64000        Petrol        Direct Owner        Automatic        Third Owner
Maruti Ritz LDi        7        475000        104000        Diesel        Direct Owner        Manual        Second Owner
Ford Ecosport 1.0 Ecoboost Titanium Optional        10        437500        104000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDI        8        587500        174000        Diesel        Direct Owner        Manual        First Owner
Hyundai Grand i10 1.2 Kappa Magna BSIV        4        656250        13400        Petrol        Direct Owner        Manual        First Owner
Hyundai Grand i10 1.2 Kappa Magna AT        6        687500        23890        Petrol        Broker        Automatic        First Owner
Maruti 800 AC BSII        31        62500        104000        Petrol        Direct Owner        Manual        Fourth & Above Owner
Hyundai Elite i20 Diesel Era        4        812500        29000        Diesel        Direct Owner        Manual        First Owner
BMW X1 sDrive 20d xLine        6        3000000        34000        Diesel        Direct Owner        Automatic        First Owner
Hyundai EON Era Plus        9        325000        41605        Petrol        Broker        Manual        First Owner
Maruti Swift Dzire VDI        9        250000        111143        Diesel        Direct Owner        Manual        Second Owner
Tata Tiago 1.2 Revotron XT        5        525000        84000        Petrol        Direct Owner        Manual        First Owner
Hyundai Creta 1.6 SX Option        6        1281250        13000        Petrol        Broker        Manual        First Owner
Ford Figo 1.2P Titanium MT        4        875000        16586        Petrol        Broker        Manual        First Owner
Nissan Terrano XE 85 PS        10        625000        124000        Diesel        Direct Owner        Manual        First Owner
Ford EcoSport 1.5 Petrol Titanium BSIV        6        1000000        23000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Beat LT Option        7        298750        45000        Petrol        Broker        Manual        First Owner
Mahindra Xylo D4        6        731250        89441        Diesel        Broker        Manual        First Owner
Maruti Vitara Brezza ZDi        4        1112500        24000        Diesel        Direct Owner        Manual        First Owner
Mahindra Xylo E6        14        500000        72350        Diesel        Broker        Manual        First Owner
Tata Indica Vista Aqua 1.4 TDI        13        187500        134000        Diesel        Direct Owner        Manual        Second Owner
Maruti SX4 Celebration Diesel        11        312500        124000        Diesel        Direct Owner        Manual        First Owner
Maruti Ertiga VDI Limited Edition        9        668750        84000        Diesel        Direct Owner        Manual        Second Owner
Renault Duster 85PS Diesel RxL        10        562500        5000        Diesel        Broker        Manual        Second Owner
Maruti Ertiga VXI        8        781250        15918        Petrol        Trustmark Broker        Manual        First Owner
Maruti Swift Dzire Tour LDI        9        375000        194621        Diesel        Broker        Manual        First Owner
Maruti Swift VXI        3        773750        5500        Petrol        Direct Owner        Manual        First Owner
Hyundai i20 Magna        13        262500        94000        Petrol        Direct Owner        Manual        Third Owner
Skoda Octavia Ambiente 1.9 TDI MT        21        112500        120000        Diesel        Direct Owner        Manual        Second Owner
Maruti S-Cross Alpha DDiS 200 SH        7        987500        26000        Diesel        Broker        Manual        First Owner
Hyundai i20 1.2 Spotz        6        718750        24000        Petrol        Direct Owner        Manual        Second Owner
Skoda Rapid 1.6 MPI Active        11        336250        56547        Petrol        Broker        Manual        First Owner
Maruti Swift Dzire 1.2 Vxi BSIV        11        460000        94000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Xylo D2 BS IV        12        287498.75        114000        Diesel        Direct Owner        Manual        Second Owner
Chevrolet Beat LT LPG        12        250000        114000        LPG        Direct Owner        Manual        First Owner
Maruti Wagon R Stingray LXI        9        373750        58565        Petrol        Broker        Manual        First Owner
Maruti Wagon R VXI Minor ABS        13        325000        54000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDI        5        1000000        29000        Diesel        Direct Owner        Manual        First Owner
Hyundai i20 Sportz Petrol        13        312500        44000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R LXI        12        325000        32481        Petrol        Broker        Manual        First Owner
Tata Indigo GLX        15        187500        54000        Petrol        Direct Owner        Manual        Third Owner
Maruti Alto 800 LXI        9        256248.75        29000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Scorpio VLS 2.2 mHawk        14        512498.75        114000        Diesel        Direct Owner        Manual        Second Owner
Honda City 1.5 V MT        5        1112500        12000        Petrol        Broker        Manual        First Owner
Maruti Wagon R CNG LXI        10        387500        63100        CNG        Broker        Manual        First Owner
Maruti A-Star Vxi        14        150000        80000        Petrol        Direct Owner        Manual        Second Owner
Maruti Zen LXi BSII        21        75000        84000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift Dzire LDI Optional        8        523750        174000        Diesel        Direct Owner        Manual        Second Owner
Toyota Innova 2.5 G (Diesel) 8 Seater        12        562500        139200        Diesel        Broker        Manual        First Owner
Ford Endeavour 3.2 Titanium AT 4X4        6        3375000        34000        Diesel        Direct Owner        Automatic        First Owner
Chevrolet Beat PS        9        212500        81000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro AT CNG        18        162500        114000        CNG        Direct Owner        Manual        Second Owner
Hyundai Santro LE zipPlus        20        87500        84000        Petrol        Direct Owner        Manual        Third Owner
Tata Bolt Revotron XM        8        468750        34000        Petrol        Direct Owner        Manual        First Owner
Ford Aspire Titanium BSIV        3        1036248.75        5010        Petrol        Broker        Manual        Test Drive Car
Tata Indica Vista Aqua TDI BSIII        14        112500        124000        Diesel        Direct Owner        Manual        First Owner
Nissan Micra XL        9        262500        44000        Petrol        Direct Owner        Manual        Second Owner
Maruti Zen Estilo LXI BS IV        14        175000        124000        Petrol        Direct Owner        Manual        First Owner
Maruti Zen Estilo VXI BSIII        16        175000        104000        Petrol        Direct Owner        Manual        Second Owner
Maruti Wagon R LXI DUO BSIII        16        125000        74000        LPG        Direct Owner        Manual        Third Owner
Mahindra Bolero SLX        12        388750        144000        Diesel        Direct Owner        Manual        First Owner
Tata Zest Revotron 1.2T XE        7        475000        19000        Petrol        Direct Owner        Manual        First Owner
Ford Figo 1.5D Titanium Opt MT        8        618750        56328        Diesel        Broker        Manual        First Owner
Mahindra Scorpio 1.99 S4        7        637498.75        64000        Diesel        Direct Owner        Manual        First Owner
Tata Indica Vista Aura 1.2 Safire        13        125000        124000        Petrol        Direct Owner        Manual        Second Owner
Hyundai i20 Asta 1.4 CRDi        10        450000        84000        Diesel        Direct Owner        Manual        Second Owner
Mahindra XUV500 W6 2WD        10        1062500        89710        Diesel        Broker        Manual        First Owner
Nissan Terrano XL Plus ICC WT20 SE        7        1250000        64000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift Dzire Vdi BSIV        12        268750        94000        Diesel        Direct Owner        Manual        Fourth & Above Owner
Hyundai i20 Sportz 1.2        8        645000        94000        Petrol        Direct Owner        Manual        First Owner
Honda City i DTec SV        9        750000        31483        Diesel        Broker        Manual        First Owner
Honda City 1.3 EXI        21        181250        104000        Petrol        Direct Owner        Manual        First Owner
Tata Manza Club Class Quadrajet90 LS        9        250000        104000        Diesel        Direct Owner        Manual        First Owner
Tata Indica Vista TDI LX        10        231250        69000        Diesel        Direct Owner        Manual        First Owner
Mahindra Verito 1.5 D2 BSIII        12        218750        179000        Diesel        Direct Owner        Manual        First Owner
Mahindra Scorpio 1.99 S10        9        1312500        54000        Diesel        Direct Owner        Manual        First Owner
Nissan Sunny Diesel XL        11        375000        114000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift VDI Optional        8        437500        94000        Diesel        Direct Owner        Manual        First Owner
Tata Aria Pleasure 4x2        11        450000        74000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift Dzire VDI        4        812500        39000        Diesel        Direct Owner        Manual        First Owner
Nissan Terrano XL 110 PS        9        625000        124000        Diesel        Direct Owner        Manual        Third Owner
Honda Jazz 1.5 V i DTEC        5        875000        19000        Diesel        Broker        Manual        First Owner
Hyundai Creta 1.4 EX Diesel        3        1312500        14000        Diesel        Direct Owner        Manual        First Owner
Toyota Innova 2.5 V Diesel 7-seater        14        687500        186000        Diesel        Direct Owner        Manual        Third Owner
Honda Amaze EX i-Dtech        10        406250        69000        Diesel        Broker        Manual        First Owner
Volkswagen Vento Diesel Highline        12        375000        124000        Diesel        Direct Owner        Manual        Second Owner
Maruti A-Star Lxi        14        181250        29000        Petrol        Direct Owner        Manual        First Owner
Ford Ecosport 1.5 Diesel Titanium        6        950000        46494        Diesel        Broker        Manual        First Owner
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII        11        500000        124000        Diesel        Direct Owner        Manual        Third Owner
Maruti Swift Dzire VDi        14        312500        154000        Diesel        Direct Owner        Manual        Third Owner
Maruti Alto 800 LXI        7        306250        72000        Petrol        Broker        Manual        First Owner
Mercedes-Benz E-Class 280 CDI Elegance        15        993750        102600        Diesel        Broker        Automatic        First Owner
Maruti Ciaz ZXi        7        781250        34000        Petrol        Broker        Manual        First Owner
Mahindra Renault Logan 1.5 DLS        15        112498.75        217000        Diesel        Direct Owner        Manual        First Owner
Renault Duster 85PS Diesel RxE        7        625000        44000        Diesel        Direct Owner        Manual        First Owner
Datsun RediGO T Option        6        312500        50000        Petrol        Direct Owner        Manual        First Owner
Tata Zest Revotron 1.2T XE        7        356250        94000        Petrol        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 i ABS        14        250000        64000        Petrol        Direct Owner        Manual        First Owner
Mahindra Bolero SLX        7        731250        55000        Diesel        Broker        Manual        First Owner
Audi A4 3.0 TDI Quattro        10        1975000        90000        Diesel        Broker        Automatic        First Owner
Maruti Celerio Green VXI        6        456250        82000        CNG        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDI        6        750000        50507        Diesel        Trustmark Broker        Manual        First Owner
Hyundai Elite i20 Asta Option BSIV        4        1000000        15240        Petrol        Direct Owner        Manual        First Owner
Mahindra Scorpio S10 7 Seater        8        787500        54000        Diesel        Direct Owner        Manual        First Owner
Skoda Rapid Monte Carlo 1.6 MPI AT BSIV        6        1062500        48500        Petrol        Direct Owner        Automatic        First Owner
Hyundai EON Era Plus Option        7        312500        34000        Petrol        Direct Owner        Manual        Second Owner
Tata Tiago 1.2 Revotron XZ        5        450000        8000        Petrol        Direct Owner        Manual        First Owner
Mercedes-Benz B Class B180 Sports        10        1375000        44000        Petrol        Direct Owner        Automatic        Second Owner
Hyundai i20 1.2 Sportz        12        325000        101700        Petrol        Direct Owner        Manual        Fourth & Above Owner
Ford Ikon 1.3 Flair        18        76250        8637        Petrol        Direct Owner        Manual        Second Owner
Maruti Ertiga SHVS ZDI        7        1031250        62000        Diesel        Broker        Manual        First Owner
Maruti Celerio VXI        8        375000        64000        Petrol        Direct Owner        Manual        Third Owner
Honda Civic 1.8 V AT        16        350000        64000        Petrol        Direct Owner        Automatic        First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus        8        562500        74000        Petrol        Direct Owner        Manual        First Owner
Tata Tigor 1.2 Revotron XM        4        625000        14000        Petrol        Direct Owner        Manual        First Owner
Mahindra Quanto C8        11        243750        144000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Verna i (Petrol)        16        153750        54000        Petrol        Direct Owner        Manual        Second Owner
Maruti Alto LXi        23        81250        94000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Verna CRDi        16        193750        104000        Diesel        Direct Owner        Manual        Fourth & Above Owner
Toyota Fortuner 3.0 Diesel        11        2100000        133627        Diesel        Broker        Manual        First Owner
Mahindra KUV 100 mFALCON D75 K6        7        537500        24000        Diesel        Direct Owner        Manual        First Owner
Honda City i-VTEC VX        5        1437500        18825        Petrol        Broker        Manual        First Owner
Maruti Swift 1.3 VXi        14        248750        56536        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Sportz BSIV        4        600000        14000        Petrol        Direct Owner        Manual        First Owner
Hyundai EON Era        12        318748.75        28000        Petrol        Broker        Manual        First Owner
Maruti Ertiga VXI        9        750000        24000        Petrol        Direct Owner        Manual        First Owner
Ford Fiesta 1.6 Duratec EXI Ltd        15        150000        84000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Elite i20 Sportz Plus Dual Tone BSIV        4        937500        19000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift Dzire ZDI        9        593750        124000        Diesel        Direct Owner        Manual        Second Owner
Renault Duster 110PS Diesel RxZ        10        637498.75        92473        Diesel        Broker        Manual        First Owner
BMW X5 xDrive 30d xLine        4        6187500        34000        Diesel        Broker        Automatic        First Owner
Mahindra Quanto C8        10        456250        86082        Diesel        Broker        Manual        First Owner
Renault KWID 1.0 RXT Optional        5        375000        14500        Petrol        Direct Owner        Manual        First Owner
Hyundai i10 Magna 1.2 iTech SE        14        187500        64000        Petrol        Direct Owner        Manual        Third Owner
Maruti Alto 800 LXI        5        356250        18000        Petrol        Direct Owner        Manual        First Owner
Maruti Omni LPG CARGO BSIII W IMMOBILISER        14        100000        94000        LPG        Direct Owner        Manual        Second Owner
Datsun RediGO SV 1.0        4        437500        5300        Petrol        Direct Owner        Manual        First Owner
Hyundai EON D Lite Plus        11        256248.75        64000        Petrol        Broker        Manual        Third Owner
Audi A6 2.0 TDI Premium Plus        10        1625000        62500        Diesel        Broker        Automatic        First Owner
Maruti Swift VXI        5        687500        34000        Petrol        Direct Owner        Manual        First Owner
Tata Tiago 1.2 Revotron XZA        4        437500        19000        Petrol        Direct Owner        Automatic        Second Owner
Tata Indica LSI        18        63888.75        144000        Petrol        Direct Owner        Manual        Third Owner
Chevrolet Beat Diesel LT        11        157500        102900        Diesel        Direct Owner        Manual        Third Owner
Maruti Alto LXi        16        125000        74000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Scorpio SLE BSIV        12        606248.75        103000        Diesel        Direct Owner        Manual        Second Owner
Maruti Zen Estilo VXI BSIII        15        100000        124000        Petrol        Direct Owner        Manual        First Owner
Maruti Eeco CNG 5 Seater AC BSIV        4        587500        8000        CNG        Direct Owner        Manual        First Owner
Chevrolet Aveo U-VA 1.2 LS        15        200000        84000        Petrol        Direct Owner        Manual        First Owner
Honda Mobilio S i DTEC        7        800000        40000        Diesel        Direct Owner        Manual        Second Owner
Toyota Fortuner 3.0 Diesel        13        1562500        209000        Diesel        Direct Owner        Manual        Second Owner
Toyota Fortuner 2.7 2WD AT        7        3125000        74000        Petrol        Direct Owner        Automatic        Second Owner
Maruti Alto K10 VXI        5        375000        39000        Petrol        Direct Owner        Manual        First Owner
Maruti Alto K10 VXI        7        375000        34000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDI        10        656250        41000        Diesel        Broker        Manual        First Owner
Mahindra XUV500 W8 4WD        11        775000        84000        Diesel        Direct Owner        Manual        Second Owner
Hyundai i20 Asta 1.4 CRDi        9        437500        56000        Diesel        Direct Owner        Manual        Second Owner
Tata Indica Vista Quadrajet LS        11        187500        84000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift ZDI        7        856250        68000        Diesel        Broker        Manual        First Owner
Maruti Wagon R VXI BS IV with ABS        8        287498.75        104000        Petrol        Direct Owner        Manual        Third Owner
Hyundai Grand i10 1.2 Kappa Sportz Option        10        431250        48000        Petrol        Broker        Manual        First Owner
Ford Fiesta Titanium 1.5 TDCi        12        687500        84000        Diesel        Direct Owner        Manual        First Owner
Maruti Baleno Alpha 1.3        6        1043750        18000        Diesel        Broker        Manual        First Owner
Hyundai EON Magna Plus        9        300000        77300        Petrol        Broker        Manual        Second Owner
Tata Indigo GLX        17        93750        44000        Petrol        Direct Owner        Manual        Second Owner
Tata New Safari DICOR 2.2 EX 4x2        14        187500        124000        Diesel        Direct Owner        Manual        Third Owner
Hyundai Santro LP zipPlus        21        100000        74000        Petrol        Direct Owner        Manual        Second Owner
Maruti Alto LXi        16        125000        104000        Petrol        Direct Owner        Manual        Second Owner
Ford Fiesta Classic 1.4 SXI Duratorq        16        162500        102000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Verna 1.6 SX VTVT (O)        9        750000        54000        Petrol        Direct Owner        Manual        Second Owner
Tata Indigo CR4        11        162500        124000        Diesel        Direct Owner        Manual        First Owner
Ford Fiesta 1.6 ZXi Duratec        14        291250        62000        Petrol        Direct Owner        Manual        Third Owner
Maruti Wagon R LXI BSIII        18        112500        69000        Petrol        Direct Owner        Manual        Second Owner
Maruti Wagon R VXI        7        468750        27000        Petrol        Broker        Manual        Second Owner
Mahindra Scorpio SLE BS IV        9        775000        84000        Diesel        Broker        Manual        First Owner
Toyota Etios GD SP        10        437500        79000        Diesel        Broker        Manual        First Owner
Maruti Swift VVT ZXI        6        687500        64000        Petrol        Direct Owner        Manual        First Owner
Maruti Alto LXi        16        112500        47826        Petrol        Broker        Manual        Second Owner
Toyota Fortuner 4x2 Manual        9        2250000        54000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto 800 LXI        7        375000        29000        Petrol        Direct Owner        Manual        First Owner
Toyota Innova Crysta 2.4 GX AT        5        2156250        27974        Diesel        Broker        Automatic        Second Owner
Toyota Fortuner 4x2 AT        9        2250000        103000        Diesel        Direct Owner        Automatic        First Owner
Tata Nano Cx BSIV        11        93750        39000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV        5        562500        10000        Petrol        Direct Owner        Manual        First Owner
Maruti S-Cross Delta DDiS 200 SH        4        1187500        14000        Diesel        Direct Owner        Manual        First Owner
Hyundai i10 Era        11        350000        34000        Petrol        Direct Owner        Manual        Second Owner
Maruti Esteem Vxi        16        125000        94000        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W8 2WD        10        937500        45988        Diesel        Broker        Manual        First Owner
Toyota Etios GD SP        10        437500        79000        Diesel        Broker        Manual        First Owner
Ford Figo Aspire 1.5 TDCi Titanium        6        875000        92635        Diesel        Broker        Manual        First Owner
Maruti Omni E 8 Str STD        22        106250        74000        Petrol        Direct Owner        Manual        Third Owner
Maruti Alto 800 LXI        8        350000        19000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Scorpio S11 BSIV        5        1625000        39000        Diesel        Direct Owner        Manual        First Owner
Hyundai Santro GLS I - Euro I        24        62500        124000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Verna CRDi 1.6 AT SX Option        5        1375000        34000        Diesel        Direct Owner        Automatic        First Owner
Audi A6 2.0 TDI Premium Plus        10        1625000        62500        Diesel        Broker        Automatic        First Owner
Datsun GO T Petrol        8        387500        36686        Petrol        Broker        Manual        First Owner
Ford Fiesta Classic 1.4 Duratorq CLXI        9        406250        84322        Diesel        Broker        Manual        First Owner
Toyota Etios Cross 1.2L G        8        526250        27839        Petrol        Broker        Manual        First Owner
Skoda Laura Ambiente 2.0 TDI CR MT        11        481250        56000        Diesel        Broker        Manual        First Owner
Honda City 1.5 V MT        14        312500        94000        Petrol        Direct Owner        Manual        Second Owner
Maruti Alto 800 LXI        9        225000        60207        Petrol        Broker        Manual        Second Owner
BMW X5 xDrive 30d xLine        4        6187500        34000        Diesel        Broker        Automatic        First Owner
Hyundai Verna CRDi 1.6 SX        6        1125000        54000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto LXi        13        200000        40000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing GL PLUS CNG        16        112500        84000        CNG        Direct Owner        Manual        Third Owner
Maruti Swift Dzire VDI        7        675000        84000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto K10 VXI        9        250000        84000        Petrol        Direct Owner        Manual        Second Owner
Hyundai EON Era Plus        8        281250        84000        Petrol        Direct Owner        Manual        First Owner
Toyota Etios 1.4 VXD        6        975000        74000        Diesel        Direct Owner        Manual        First Owner
Mahindra Jeep CJ 500 DI        17        718750        5001        Diesel        Broker        Manual        First Owner
Maruti Alto LXi        11        218750        84000        Petrol        Direct Owner        Manual        Third Owner
Maruti Wagon R LXI        18        87500        74000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Grand i10 CRDi Magna        8        375000        64000        Diesel        Direct Owner        Manual        Second Owner
Tata Indigo LS        14        125000        24000        Diesel        Direct Owner        Manual        First Owner
Maruti Wagon R VXI Plus Optional        6        475000        23000        Petrol        Direct Owner        Manual        First Owner
Hyundai Elite i20 Sportz Plus BSIV        4        901250        14000        Petrol        Direct Owner        Manual        First Owner
Hyundai Xcent 1.1 CRDi Base        8        437500        74000        Diesel        Direct Owner        Manual        Second Owner
Maruti Alto LX        12        225000        40000        Petrol        Broker        Manual        First Owner
Mercedes-Benz GL-Class 350 CDI Blue Efficiency        9        5500000        104000        Diesel        Direct Owner        Automatic        Second Owner
Hyundai Grand i10 Magna AT        6        650000        14510        Petrol        Broker        Automatic        First Owner
Maruti Alto 800 CNG LXI        11        212500        101000        CNG        Direct Owner        Manual        Second Owner
Mahindra Scorpio M2DI        9        625000        124000        Diesel        Direct Owner        Manual        First Owner
Mahindra Bolero Power Plus Plus Non AC BSIV PS        8        625000        114000        Diesel        Direct Owner        Manual        First Owner
Honda Amaze VX i-DTEC        9        562500        145000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Accent Executive        12        187500        64000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift ZXI Plus        3        687500        9000        Petrol        Direct Owner        Manual        First Owner
Toyota Etios Liva VD        8        600000        74000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDI        5        900000        19000        Diesel        Direct Owner        Manual        First Owner
Chevrolet Beat Diesel        11        200000        114000        Diesel        Direct Owner        Manual        First Owner
Mitsubishi Montero 3.2 MT        16        937500        184000        Diesel        Direct Owner        Manual        First Owner
Mahindra Quanto C4        7        500000        84000        Diesel        Direct Owner        Manual        Second Owner
Fiat Punto 1.3 Emotion        13        356250        79000        Diesel        Direct Owner        Manual        Third Owner
Fiat Linea T Jet Plus        12        625000        24000        Petrol        Direct Owner        Manual        First Owner
Audi RS7 2015-2019 Sportback Performance        7        11125000        17000        Petrol        Broker        Automatic        First Owner
Tata Xenon XT EX 4X2        9        363750        94000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto LXi        11        225000        64000        Petrol        Direct Owner        Manual        Second Owner
Volkswagen Jetta 1.9 Highline TDI        15        356250        94000        Diesel        Direct Owner        Automatic        Second Owner
Maruti Alto 800 LXI        8        331250        36933        Petrol        Broker        Manual        First Owner
Toyota Innova 2.5 V Diesel 8-seater        13        787500        204000        Diesel        Direct Owner        Manual        Third Owner
Hyundai Verna 1.6 SX        11        750000        104000        Diesel        Direct Owner        Manual        First Owner
Mahindra XUV500 W7 BSIV        4        1750000        14000        Diesel        Direct Owner        Manual        First Owner
Tata Indica Vista Quadrajet LS        11        150000        144000        Diesel        Direct Owner        Manual        First Owner
Hyundai Accent Executive        10        250000        74000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Beat LT Option        7        298750        45000        Petrol        Broker        Manual        First Owner
Maruti Baleno Zeta 1.2        6        801250        29000        Petrol        Direct Owner        Manual        First Owner
Skoda Superb Elegance 2.0 TDI CR AT        14        443750        104000        Diesel        Direct Owner        Automatic        Second Owner
Maruti Alto LXi BSIII        14        162500        84000        Petrol        Direct Owner        Manual        Second Owner
Tata Zest Revotron 1.2T XE        5        562500        49000        Petrol        Direct Owner        Manual        First Owner
Maruti Alto K10 VXI        5        475000        26155        Petrol        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 VTVT        10        462500        64000        Petrol        Direct Owner        Manual        First Owner
Tata Nano Lx        12        75000        44000        Petrol        Direct Owner        Manual        First Owner
Audi A4 35 TDI Premium        8        2875000        39000        Diesel        Direct Owner        Automatic        Third Owner
Maruti Alto LXi        17        187500        79118        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W8 2WD        10        812500        106989        Diesel        Broker        Manual        First Owner
Chevrolet Beat LT Option        8        300000        64000        Petrol        Direct Owner        Manual        First Owner
Maruti Celerio VXI AMT BSIV        7        562500        43415        Petrol        Trustmark Broker        Automatic        Second Owner
Volkswagen Vento Diesel Highline        12        375000        69000        Diesel        Direct Owner        Manual        Second Owner
Audi A4 3.0 TDI Quattro        10        1975000        90000        Diesel        Broker        Automatic        First Owner
Maruti Swift VVT VXI        6        500000        34000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift VDI        10        456250        69000        Diesel        Broker        Manual        First Owner
Volkswagen Polo 1.0 MPI Trendline        11        338750        53000        Petrol        Broker        Manual        First Owner
Honda Amaze S i-Dtech        10        436250        124000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift VXI Optional        7        450000        34000        Petrol        Direct Owner        Manual        First Owner
Hyundai i10 Magna 1.1 iTech SE        8        375000        52000        Petrol        Broker        Manual        First Owner
Chevrolet Aveo 1.4        16        106250        74000        Petrol        Direct Owner        Manual        Second Owner
Hyundai i10 Magna        12        312500        32000        Petrol        Broker        Manual        First Owner
Maruti Alto 800 LXI        9        143748.75        34000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro GLS I - Euro II        16        168750        89000        Petrol        Broker        Manual        First Owner
Tata Nano Cx BSIII        9        56250        11000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Verna CRDi SX ABS        14        218750        140000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Grand i10 1.2 CRDi Asta        5        581250        29000        Diesel        Direct Owner        Manual        First Owner
Renault KWID RXT        6        437500        29000        Petrol        Direct Owner        Manual        First Owner
Hyundai i10 Magna 1.2        13        281250        64000        Petrol        Direct Owner        Manual        Second Owner
Maruti Vitara Brezza VDi Option        5        906250        30350        Diesel        Direct Owner        Manual        First Owner
Tata Indigo LS        15        131250        94000        Diesel        Direct Owner        Manual        First Owner
Hyundai EON Era Plus Option        6        393750        22469        Petrol        Trustmark Broker        Manual        First Owner
Maruti Wagon R VXI BSIII        20        87500        94000        Petrol        Direct Owner        Manual        Second Owner
Volkswagen Vento Diesel Highline        12        375000        69000        Diesel        Direct Owner        Manual        Second Owner
Tata Safari Storme VX        7        1250000        74000        Diesel        Direct Owner        Manual        First Owner
Hyundai Grand i10 Asta        7        687500        49457        Petrol        Broker        Manual        First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus        10        1437500        57000        Diesel        Broker        Automatic        First Owner
Mahindra Renault Logan 1.5 DLS        15        112498.75        217000        Diesel        Direct Owner        Manual        First Owner
